Country,ISO3,Continent,Population,Total_Cases,Total_Deaths,Recovered,Vaccination_Rate,Cases_per_Million,Death_Rate,Recovery_Rate,Active_Cases
United States,USA,North America,339000000,104000000,1130000,101500000,81,306785,1.09,97.60,1370000
India,IND,Asia,1428000000,45000000,533000,44400000,75,31513,1.18,98.67,67000
Brazil,BRA,South America,216000000,37500000,703000,36200000,88,173611,1.87,96.53,597000
France,FRA,Europe,68000000,40100000,167000,39700000,81,589706,0.42,98.99,233000
Germany,DEU,Europe,84000000,38800000,183000,38300000,78,461905,0.47,98.71,317000
Japan,JPN,Asia,124000000,33800000,75000,33300000,83,272581,0.22,98.52,425000
South Korea,KOR,Asia,52000000,34500000,35000,34100000,87,663462,0.10,98.84,365000
Italy,ITA,Europe,59000000,26700000,196000,26300000,80,452542,0.73,98.50,204000
United Kingdom,GBR,Europe,68000000,24800000,232000,24400000,82,364706,0.94,98.39,168000
Russia,RUS,Europe,144000000,23000000,400000,22300000,61,159722,1.74,96.96,300000
Turkey,TUR,Asia,85000000,17200000,102000,17000000,69,202353,0.59,98.84,98000
Spain,ESP,Europe,48000000,13900000,122000,13700000,85,289583,0.88,98.56,78000
Australia,AUS,Oceania,26000000,11700000,24000,11500000,86,450000,0.21,98.29,176000
Vietnam,VNM,Asia,100000000,11600000,43000,11000000,93,116000,0.37,94.83,557000
Mexico,MEX,North America,128000000,7700000,335000,7200000,69,60156,4.35,93.51,165000
Indonesia,IDN,Asia,277000000,6800000,162000,6600000,73,24549,2.38,97.06,38000
Argentina,ARG,South America,46000000,10100000,130000,9900000,83,219565,1.29,98.02,70000
Netherlands,NLD,Europe,18000000,8600000,23000,8500000,78,477778,0.27,98.84,77000
Canada,CAN,North America,40000000,4700000,52000,4600000,84,117500,1.11,97.87,48000
South Africa,ZAF,Africa,60000000,4100000,102000,3998000,42,68333,2.49,97.51,0
Philippines,PHL,Asia,117000000,4100000,67000,4000000,68,35043,1.63,97.56,33000
Thailand,THA,Asia,72000000,4800000,35000,4700000,80,66667,0.73,97.92,65000
Malaysia,MYS,Asia,34000000,5200000,37000,5100000,84,152941,0.71,98.08,63000
Chile,CHL,South America,20000000,5300000,64000,5200000,92,265000,1.21,98.11,36000
Egypt,EGY,Africa,112000000,520000,25000,442000,38,4643,4.81,85.00,53000
